Name,Value,Club,Age,Nationality,Fifa Score,Salary
Cristiano Ronaldo,€95.5M,Real Madrid CF,32,Portugal,94,€575K
L. Messi,€105M,FC Barcelona,30,Argentina,93,€575K
Neymar,€123M,Paris Saint-Germain,25,Brazil,92,€300K
R. Lewandowski,€92M,FC Bayern Munich,28,Poland,91,€450K
De Gea,€64.5M,Manchester United,26,Spain,90,€245K
