Name
Fernandão
G. Martínez
F. Amorebieta
Adilson Edrada
A. Ibargüen
S. Pérez
G. Gómez
Juli Freitinho
Caio Nunson
Otávio Cairinho
João Pedro
Leonardo
A. Chávez
S. García
S. Sosa
Luimo Boas Santos
M. Dos Santos
C. Vargas
C. Abridego
F. Castillo
Melvin Parrela
Nicholas Aldair
K. Cordesia
Jorginhson
E. Merraño
M. Barbosa
E. Mammana
S. Blanco
J. Landiso
D. González
F. Mora
Diego Ângelo
Y. Donosos
M. Pérez García
M. Martins
Rafael Cachoira
G. Rivas
Dani Rochelinhas
J. Beausejour
Douglas Santos
M. Angeleri
Cássio
M. Suárez
M. Britos
A. Cambrillo
Dani Hernández
L. Lereas
W. Tesillo
F. Vidangosa
C. Marrugo
V. Guerra
C. Rodríguez
E. Gigliotti
Siqueira
C. Toselli
C. Cordeso
I. Piris
F. Monetti
Douglas
Kaíquão Castro
Jefferson
E. Dinsol
I. Fernández
F. Pardo
J. Figal
V. Vada
Andeson Trigo
Gottardi
M. Alcoraz
B. Sarmiento
Lafortiscinho
H. Acevedo
A. Baredia
R. Borré
Mattheus Oliveira
A. Peñaranda
L. Torreira
E. Bolindos
J. Lopendañez
M. Mantovani
Victildinho
L. Zelarayán
J. Lerma
P. Goltz
G. Jara
J. Badamontes
S. Cardenia
Kaimo Lima
Renato Neto
Titi
J. Carrizo
Djavan
Davi Parrela
L. González Pirez
F. Carrizo
L. Pisculichi
Welthon
C. Pavón
C. Villanueva
L. Orbán
S. Araujo
Duirval Diniz
G. Maripán
D. Braghieri
Da Costa
Léo Bonatini
V. Acerval
A. Corveto
Edercinho Sepa
E. Velázquez
Márcio Azevedo
Pascoal Muscato
R. Laborde
J. Schunke
J. Neiroga
Danilo
D. Machís
M. Casco
Caio Milaçar
G. Carrillo
C. Nevorrete
Enaldo Praz
J. Basanta
Diego Farías
I. Scocco
Marcelo Goiano
M. López
Claudemir
Jailson Caeiro
G. Daralla
N. Vikonis
L. Abecasis
Matheus Pereira
F. Pereyra
Kel Perinho
E. Evaldes
Hugo Goiteira
M. Laba
Fábio Melitinho
D. Suárez
R. Centurión
José Mirazar
G. Peñalba
G. Contreso
Kaíqundo Calado
N. Barresta
Élton
M. Nervo
N. Fuenzas
Jorge
D. Vera
P. Retomal
Marlon Nideiro
Jacson Zonta
E. Cardona
J. Martínez
Leo Caldeirinha
Alvildo Sousa
David Neres
E. Barreto
D. Valdés
J. Cuadrado
Fabiano
Claudiano Sobrino
Hélton Celanova
Erick Gameira
A. Pérez
Jadson Vidigal
Cristiano
Emilio Piodão
E. Peñarendi
Edvaldisco
E. Triverio
B. Rasaldo
M. Villanueva
Thiago Mendes
P. Barrientos
Filipe Augusto
H. Rodallega
M. Caraglio
Paulinho
Maurício António
A. Costa
W. Barrios
Perdigão
Sebas Couteira
Walace
D. Percidino
C. Despredal
Kauã Abranches
A. Naranjeda
