Name,Value,Club,Nationality,Fifa Score,Age,Salary
Cristiano Ronaldo,€95.5M,Real Madrid CF,Portugal,94,32,€575K
L. Messi,€105M,FC Barcelona,Argentina,93,30,€575K
Neymar,€123M,Paris Saint-Germain,Brazil,92,25,€300K
R. Lewandowski,€92M,FC Bayern Munich,Poland,91,28,€450K
De Gea,€64.5M,Manchester United,Spain,90,26,€245K
